id,kind,name,lat,lng,alias_count
geonames:11611942,city,鎌ケ谷,35.76971,140.00238,2
geonames:11611943,city,えびの,32.04766,130.84442,2
geonames:11611944,city,伊佐,32.06716,130.61182,2
geonames:11611945,city,赤穂,34.75967,134.37035,2
geonames:11611946,city,備前,34.78674,134.23542,2
geonames:11611947,city,東近江,35.1039,136.26274,2
geonames:11611948,city,中津,33.46238,131.14174,2
geonames:11611949,city,宇佐,33.43946,131.33675,2
geonames:11611950,city,江田島,34.23863,132.47967,2
geonames:11612319,city,四万十,33.07831,132.85234,2
geonames:11612326,city,たつの,34.83184,134.54338,2
geonames:11612327,city,壱岐,33.78286,129.7209,2
geonames:11612328,city,土佐,33.50476,133.44475,2
geonames:11612329,city,都留,35.54731,138.90959,2
geonames:11612330,city,南国,33.56943,133.64937,2
geonames:11612331,city,安芸高田,34.67416,132.68188,2
geonames:11612332,city,西予,33.38817,132.63176,2
geonames:11612333,city,阿波,34.09205,134.28452,2
geonames:11612334,city,八代,32.55723,130.65285,2
geonames:11612336,city,甲斐,35.68463,138.50979,2
geonames:11612337,city,さくら,36.72072,139.98779,2
geonames:11612338,city,淡路,34.47769,134.93065,2
geonames:11612339,city,蕨,35.82188,139.68545,2
geonames:11612340,city,みよし,35.08971,137.08998,2
geonames:11612341,city,糸島,33.54225,130.18421,2
geonames:11612342,city,由布,33.1956,131.37829,2
geonames:11612343,city,あきる野,35.72854,139.2318,2
geonames:11612345,city,四国中央,33.9754,133.54895,2
geonames:11612346,city,嬉野,33.13525,130.05718,2
geonames:11612347,city,習志野,35.68184,140.04152,2
geonames:11612454,city,南房総,35.03126,139.92651,2
geonames:11612455,city,大網白里,35.51183,140.35257,2
geonames:11612456,city,袖ケ浦,35.41368,140.02135,2
geonames:11612457,city,越前,35.88571,136.17073,2
geonames:11612458,city,嘉麻,33.53488,130.74228,2
geonames:11612459,city,みやま,33.12102,130.50007,2
geonames:11612460,city,宮若,33.71706,130.64117,2
geonames:11612472,city,白河,37.11954,140.26211,2
geonames:11612473,city,瑞穂,35.3943,136.66898,2
geonames:11612475,city,山県,35.58306,136.7585,2
geonames:11612476,city,士別,44.17137,142.39517,2
geonames:11612477,city,朝来,35.25908,134.81392,2
geonames:11612478,city,加西,34.92633,134.84533,2
geonames:11612479,city,南あわじ,34.27396,134.77512,2
geonames:11612480,city,三田,34.94716,135.21389,3
geonames:11612481,city,宍粟,34.98107,134.56398,2
geonames:11612482,city,丹波,35.16034,135.03914,2
geonames:11612487,city,能美,36.42902,136.54564,2
geonames:11612537,city,東海,35.02269,136.90887,2
geonames:11612539,city,東かがわ,34.21024,134.33653,2
geonames:11612540,city,南九州,31.34689,130.45612,2
geonames:11612541,city,南さつま,31.38999,130.28343,2
geonames:11612542,city,曽於,31.64637,130.99068,2
geonames:11612543,city,海老名,35.43417,139.39419,2
geonames:11612549,city,香美,33.68407,133.84369,2
geonames:11612550,city,香南,33.58345,133.78189,2
geonames:11612551,city,室戸,33.33282,134.14169,3
geonames:11612553,city,合志,32.89271,130.77567,2
geonames:11612554,city,宇城,32.62217,130.66177,2
geonames:11612555,city,京田辺,34.8045,135.76681,2
geonames:11612557,city,京丹後,35.60623,135.04429,2
geonames:11612558,city,南丹,35.1098,135.49164,2
geonames:11612559,city,五島,32.68418,128.8068,2
geonames:11612560,city,南島原,32.67334,130.26747,2
geonames:11612561,city,西海,32.9839,129.6809,2
geonames:11612562,city,雲仙,32.77111,130.24841,2
geonames:11612563,city,豊後大野,32.97152,131.52832,2
geonames:11612564,city,赤磐,34.80986,134.02153,2
geonames:11612565,city,真庭,35.10643,133.72009,2
geonames:11612566,city,瀬戸内,34.65919,134.14238,2
geonames:11612567,city,泉佐野,34.379,135.31981,2
geonames:11612568,city,大阪狭山,34.49524,135.55069,2
geonames:11612569,city,伊万里,33.29036,129.88998,2
geonames:11612570,city,神埼,33.32393,130.34051,2
geonames:11612571,city,湖南,34.99921,136.09674,2
geonames:11612572,city,安来,35.33613,133.18382,3
geonames:11612573,city,那須塩原,36.97952,139.99466,2
geonames:11612574,city,美馬,34.05493,134.13963,2
geonames:11612575,city,三好,33.92541,133.85674,2
geonames:11612576,city,吉野川,34.03858,134.29207,2
geonames:11612578,city,稲城,35.63295,139.49967,2
geonames:11612579,city,小金井,35.70014,139.51109,2
geonames:11612580,city,狛江,35.63424,139.57546,2
geonames:11612582,city,山陽小野田,34.03246,131.16028,2
geonames:11612583,city,周南,34.08053,131.82564,2
geonames:11612585,city,中央区,35.59465,138.50275,2
geonames:11612588,city,笛吹,35.63526,138.63853,2
geonames:11612589,city,甲州,35.72422,138.77106,2
geonames:11612630,city,東大和,35.75052,139.42959,2
geonames:11612632,city,鹿角,40.20825,140.78327,2
geonames:11612633,city,雲南,35.2431,132.89989,2
geonames:11612682,city,国東,33.5547,131.72796,2
geonames:11612692,city,いちき串木野,31.72934,130.29305,2
geonames:11612694,city,浅口,34.53484,133.60302,2
geonames:11612700,city,福津,33.783,130.49114,2
geonames:11612701,city,朝倉,33.41439,130.71877,2
geonames:11612703,city,上天草,32.4892,130.39433,2
geonames:11612704,city,陸前高田,39.03759,141.60004,2
geonames:11612706,city,白山,36.48204,136.58684,2
geonames:11612707,city,仙北,39.7093,140.74654,2
geonames:11672692,city,とっぷし,44.08905,143.80703,2
geonames:11694589,city,田尻町,34.42695,135.24552,2
geonames:11749713,ward,千代田区,35.68449,139.75056,2
geonames:11752747,city,水元町,43.83764,144.59606,2
geonames:11776757,ward,和野,39.93386,141.93306,2
geonames:11776771,ward,ニセコ,42.80894,140.68596,2
geonames:11776843,ward,白楽,35.48926,139.62798,2
geonames:11776849,ward,矢部,35.57203,139.38638,2
geonames:11776897,ward,東海,36.47396,140.56355,2
geonames:11776907,ward,野木,36.22787,139.73446,2
geonames:11776910,ward,和戸,36.04046,139.7044,2
geonames:11776912,city,芦ケ久保,35.9774,139.13592,2
geonames:11776913,ward,横瀬,35.9845,139.0946,2
geonames:11776961,city,山吹,35.57652,137.90026,2
geonames:11776964,city,上片桐,35.61555,137.90236,2
geonames:11776968,city,坂北,36.42567,138.01661,2
geonames:11777002,city,田野口,35.0554,138.09677,2
geonames:11777018,ward,春田,35.1422,136.8121,2
geonames:11777028,ward,栄,35.17045,136.90753,2
geonames:11777075,ward,阿久比,34.93499,136.91299,2
geonames:11777085,city,上野間,34.80802,136.86441,2
geonames:11777093,city,上麻生,35.54057,137.11727,2
geonames:11777232,ward,小路,34.66039,135.5555,2
geonames:11777242,ward,海老江,34.69717,135.47112,2
geonames:11777258,city,水無瀬,34.87724,135.6651,2
geonames:11777259,city,下山,34.89396,135.68463,2
geonames:11777262,ward,王寺,34.5986,135.70214,2
geonames:11777267,city,和佐,33.89628,135.20758,2
geonames:11777281,city,中飯降,34.30339,135.53322,2
